地名,センター,燃やして処理するごみ,燃やさないで処理するごみ,衣類,資源物,有害ごみ,粗大ごみ（ふとん類含む）,家電４品目,直接持ち込みごみ,受け入れしないごみ, ,
綾部地区（本町四丁目）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,,,,,,
綾部地区（本町五、六丁目）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,,,,,,
綾部地区（本町七丁目）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,,,,,,
綾部地区（本町八丁目）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,,,,,,
綾部地区（東神宮寺）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,,,,,,
綾部地区（中神宮寺）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,,,,,,
綾部地区（西神宮寺）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,,,,,,
綾部地区（明知町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,,,,,,
綾部地区（月見町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,火1:8 12 1; 水1:9 2; 木1:10; 金1:11 3; 火2:5 6 7; 木2:4,,,,,,
綾部地区（中ノ町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,,,,,,
綾部地区（広小路）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,,,,,,
綾部地区（新広小路）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,,,,,,
綾部地区（西新町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,,,,,,
綾部地区（南西町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,,,,,,
綾部地区（北西町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,,,,,,
綾部地区（天神町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,,,,,,
綾部地区（若松町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,木1:11 12; 金1:9 2; 火2:10; 木2:8 1 3; 金2:6 7; 火3:4; 金3:5,木1:11 12; 金1:9 2; 火2:10; 木2:8 1 3; 金2:6 7; 火3:4; 金3:5,,,,,,
綾部地区（相生町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,,,,,,
綾部地区（幸通町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,,,,,,
綾部地区（宮代町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,,,,,,
綾部地区（駅前通）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,,,,,,
綾部地区（綾中町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:10; 水1:3; 木1:6 7 8; 金1:4; 木2:5; 木4:11 12; 水5:10; 金5:8 1,火1:10; 水1:3; 木1:6 7 8; 金1:4; 木2:5; 木4:11 12; 水5:10; 金5:8 1,,,,,,
綾部地区（グランブルー）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:10; 水1:3; 木1:6 7 8; 金1:4; 木2:5; 木4:11 12; 水5:10; 金5:8 1,火1:10; 水1:3; 木1:6 7 8; 金1:4; 木2:5; 木4:11 12; 水5:10; 金5:8 1,,,,,,
綾部地区（西町団地）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,,,,,,
綾部地区（井倉町）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,,,,,,
綾部地区（青野町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:3; 水1:6 7; 木1:4; 水2:5; 火4:11 12; 金4:9; 火5:10; 水5:7; 木5:8 1,火1:3; 水1:6 7; 木1:4; 水2:5; 火4:11 12; 金4:9; 火5:10; 水5:7; 木5:8 1,,,,,,
非加盟（弥生団地）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,,,,,,
非加盟（井倉新町団地）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,,,,,,
非加盟（綾部合同宿舎）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,,,,,,
非加盟（上野団地）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,,,,,,
非加盟（あやべ台）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
中筋地区（岡町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,,,,,,
中筋地区（高津町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,火1:6 7; 水1:4; 木1:5; 金3:12; 火4:8 1; 木4:9; 金4:10 11 2; 火5:7,,,,,,
中筋地区（延町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:10; 水1:3; 木1:6 7 8; 金1:4; 木2:5; 木4:11 12; 水5:10; 金5:8 1,火1:10; 水1:3; 木1:6 7 8; 金1:4; 木2:5; 木4:11 12; 水5:10; 金5:8 1,,,,,,
中筋地区（上延町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:10; 水1:3; 木1:6 7 8; 金1:4; 木2:5; 木4:11 12; 水5:10; 金5:8 1,火1:10; 水1:3; 木1:6 7 8; 金1:4; 木2:5; 木4:11 12; 水5:10; 金5:8 1,,,,,,
中筋地区（安場町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:10; 水1:3; 木1:6 7 8; 金1:4; 木2:5; 木4:11 12; 水5:10; 金5:8 1,火1:10; 水1:3; 木1:6 7 8; 金1:4; 木2:5; 木4:11 12; 水5:10; 金5:8 1,,,,,,
中筋地区（鳥ケ坪）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:3; 水1:6 7; 木1:4; 水2:5; 火4:11 12; 金4:9; 火5:10; 水5:7; 木5:8 1,火1:3; 水1:6 7; 木1:4; 水2:5; 火4:11 12; 金4:9; 火5:10; 水5:7; 木5:8 1,,,,,,
中筋地区（大島町東）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:3; 水1:6 7; 木1:4; 水2:5; 火4:11 12; 金4:9; 火5:10; 水5:7; 木5:8 1,火1:3; 水1:6 7; 木1:4; 水2:5; 火4:11 12; 金4:9; 火5:10; 水5:7; 木5:8 1,,,,,,
中筋地区（大島町中）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:3; 水1:6 7; 木1:4; 水2:5; 火4:11 12; 金4:9; 火5:10; 水5:7; 木5:8 1,火1:3; 水1:6 7; 木1:4; 水2:5; 火4:11 12; 金4:9; 火5:10; 水5:7; 木5:8 1,,,,,,
中筋地区（大島町西）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:3; 水1:6 7; 木1:4; 水2:5; 火4:11 12; 金4:9; 火5:10; 水5:7; 木5:8 1,火1:3; 水1:6 7; 木1:4; 水2:5; 火4:11 12; 金4:9; 火5:10; 水5:7; 木5:8 1,,,,,,
中筋地区（夕陽ケ丘）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,,,,,,
プレシアス,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,,,,,,
吉美地区（桜が丘以外）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,,,,,,
吉美地区（桜が丘一丁目）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,,,,,,
吉美地区（桜が丘二丁目）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,,,,,,
西八田（上八田）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,,,,,,
西八田（七百石）大日,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,,,,,,
西八田（七百石）大谷,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,木1:11 12; 金1:9 2; 火2:10; 木2:8 1 3; 金2:6 7; 火3:4; 金3:5,木1:11 12; 金1:9 2; 火2:10; 木2:8 1 3; 金2:6 7; 火3:4; 金3:5,,,,,,
西八田（七百石）大日・大谷以外,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,,,,,,
西八田（中筋）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,,,,,,
西八田（岡安）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,,,,,,
西八田（渕垣）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,,,,,,
西八田（下八田）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
東八田（中山）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,,,,,,
東八田（安国寺）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,,,,,,
東八田（新町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,,,,,,
東八田（中町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,,,,,,
東八田（上町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,,,,,,
東八田（鐘鋳場）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,,,,,,
東八田（高槻）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,,,,,,
東八田（大石）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,,,,,,
東八田（愛宕）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,金2:12; 火3:8 9 1; 水3:2; 木3:10; 金3:6 7 11; 火4:4 3; 金4:5,,,,,,
東八田（内谷）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
東八田（大野）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
東八田（延近）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
