地名,センター,燃やして処理するごみ,燃やさないで処理するごみ,衣類,資源物,有害ごみ,粗大ごみ（ふとん類含む）,家電４品目,直接持ち込みごみ,受け入れしないごみ, ,
中上林地区（辻）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,,,,,,
中上林地区（水梨）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,,,,,,
中上林地区（市野瀬）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,,,,,,
中上林地区（市志）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,火2:11 12; 木2:9; 金2:10 2; 火3:3; 水3:6 7; 木3:4 8 1; 水4:5,,,,,,
中上林地区（浅原）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,,,,,,
中上林地区（真野）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,,,,,,
中上林地区（小田）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,,,,,,
中上林地区（引地）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,,,,,,
中上林地区（西屋）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,,,,,,
中上林地区（神谷）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,木2:11 12; 金2:9; 火3:2; 水3:10 3; 木3:6 7; 金3:4 8 1; 木4:5,,,,,,
